customer_id,tenure_months,monthly_charges,contract_type,payment_method,num_complaints,churn
C000054,36,65.23,two-year,electronic-check,1,0
C000055,67,107.65,two-year,bank-transfer,2,0
C000056,18,61.66,month-to-month,bank-transfer,0,0
C000057,55,27.31,month-to-month,electronic-check,0,0
C000058,20,113.95,month-to-month,electronic-check,0,0
C000059,18,116.75,month-to-month,credit-card,1,1
C000060,63,36.28,month-to-month,electronic-check,1,1
C000061,66,60.38,month-to-month,bank-transfer,0,0
C000062,47,21.95,one-year,electronic-check,0,1
C000063,43,71.74,two-year,bank-transfer,0,1
C000064,30,117.17,month-to-month,credit-card,0,1
C000065,24,47.04,one-year,credit-card,1,1
C000066,34,60.59,two-year,electronic-check,2,0
C000067,42,28.95,two-year,credit-card,1,0
C000068,10,46.89,month-to-month,credit-card,0,1
C000069,29,26.66,one-year,credit-card,0,1
C000070,54,112.67,one-year,bank-transfer,0,0
C000071,31,113.81,month-to-month,credit-card,0,0
C000072,40,82.87,month-to-month,electronic-check,1,1
C000073,23,47.05,one-year,credit-card,5,0
C000074,65,75.1,month-to-month,credit-card,0,1
C000075,14,85.83,month-to-month,electronic-check,0,0
C000076,51,117.03,one-year,bank-transfer,0,0
C000077,18,60.47,month-to-month,bank-transfer,4,1
C000078,33,63.07,month-to-month,credit-card,0,1
C000079,37,79.88,one-year,electronic-check,0,0
C000080,35,64.58,one-year,bank-transfer,0,0
C000081,71,52.35,one-year,credit-card,3,0
C000082,24,20.11,one-year,bank-transfer,0,0
C000083,26,44.82,one-year,credit-card,0,0
C000084,6,59.4,month-to-month,bank-transfer,0,1
C000085,68,105.32,month-to-month,credit-card,0,1
C000086,50,96.43,two-year,electronic-check,4,0
C000087,19,24.38,month-to-month,electronic-check,2,1
C000088,65,33.93,two-year,electronic-check,1,0
C000089,3,102.64,two-year,electronic-check,1,0
C000090,30,28.51,two-year,credit-card,0,0
C000091,49,103.58,one-year,electronic-check,0,0
C000092,32,68.93,month-to-month,credit-card,0,0
C000093,65,109.79,month-to-month,credit-card,0,0
C000094,61,45.22,month-to-month,credit-card,1,0
C000095,27,43.07,month-to-month,electronic-check,4,0
C000096,10,67.9,one-year,electronic-check,0,0
C000097,26,27.75,month-to-month,credit-card,0,0
C000098,39,82.12,two-year,credit-card,0,0
C000099,13,89.22,month-to-month,electronic-check,0,0
C000100,60,66.59,two-year,credit-card,5,0
C000101,11,113.63,two-year,credit-card,0,0
C000102,58,119.4,month-to-month,bank-transfer,0,0
C000103,12,34.17,month-to-month,electronic-check,0,1
C000104,66,47.96,one-year,credit-card,1,1
C000105,63,59.41,month-to-month,credit-card,0,0
C000106,52,50.2,one-year,credit-card,0,0
C000107,43,20.17,one-year,bank-transfer,1,0
C000108,26,91.3,month-to-month,electronic-check,0,0
C000109,50,119.88,one-year,electronic-check,0,1
C000110,7,48.06,one-year,credit-card,1,0
C000111,20,44.93,one-year,bank-transfer,0,0
C000112,48,98.51,one-year,bank-transfer,2,0
C000113,71,74.92,two-year,electronic-check,0,0
C000114,18,84.45,two-year,bank-transfer,0,0
C000115,61,61.49,two-year,bank-transfer,0,0
C000116,34,60.62,two-year,credit-card,0,0
C000117,16,36.73,two-year,credit-card,0,0
C000118,64,75.04,two-year,bank-transfer,2,0
C000119,71,39.24,one-year,credit-card,0,0
C000120,31,56.83,two-year,electronic-check,0,0
C000121,53,58.28,month-to-month,electronic-check,0,0
C000122,8,69.81,one-year,electronic-check,3,0
C000123,68,82.96,month-to-month,credit-card,0,0
C000124,58,63.18,month-to-month,bank-transfer,1,1
C000125,55,90.95,month-to-month,bank-transfer,3,1
C000126,51,113.02,one-year,electronic-check,2,1
C000127,14,42.38,one-year,credit-card,0,0
C000128,59,28.5,two-year,credit-card,0,0
C000129,5,84.55,month-to-month,bank-transfer,3,1
C000130,56,89.86,two-year,credit-card,0,0
C000131,25,58.81,one-year,credit-card,1,0
C000132,39,119.64,month-to-month,bank-transfer,3,1
C000133,32,67.53,two-year,credit-card,0,0
C000134,40,25.53,month-to-month,credit-card,0,0
C000135,11,45.73,two-year,electronic-check,0,0
C000136,5,89.58,one-year,electronic-check,0,0
C000137,1,99.71,two-year,electronic-check,1,0
C000138,26,51.17,month-to-month,credit-card,0,1
C000139,38,30.9,month-to-month,electronic-check,0,1
C000140,63,61.7,month-to-month,electronic-check,0,0
C000141,51,25.44,two-year,credit-card,4,0
C000142,8,38.41,month-to-month,bank-transfer,2,1
C000143,11,113.16,one-year,bank-transfer,0,0
C000144,60,23.19,two-year,electronic-check,1,0
C000145,57,36.93,one-year,credit-card,0,0
C000146,16,76.11,month-to-month,credit-card,0,1
C000147,56,28.78,one-year,electronic-check,0,0
C000148,58,39.3,one-year,bank-transfer,1,0
C000149,53,44.8,one-year,electronic-check,1,1
C000150,60,26.26,month-to-month,credit-card,0,1
C000151,44,56.3,two-year,bank-transfer,3,0
C000152,41,112.42,two-year,bank-transfer,0,1
C000153,9,22.43,two-year,credit-card,0,0
C000154,50,98.98,two-year,bank-transfer,1,0
C000155,24,20.87,month-to-month,electronic-check,0,0
C000156,31,52.78,two-year,bank-transfer,0,0
C000157,26,59.17,two-year,credit-card,0,0
C000158,62,75.26,month-to-month,bank-transfer,0,0
C000159,10,46.49,one-year,credit-card,0,0
C000160,58,37.32,one-year,credit-card,0,0
C000161,31,94.8,two-year,electronic-check,1,0
C000162,35,57.3,one-year,electronic-check,0,0
C000163,32,43.55,one-year,bank-transfer,2,0
C000164,9,59.61,two-year,credit-card,0,0
C000165,13,85.33,month-to-month,credit-card,0,0
C000166,30,104.06,one-year,bank-transfer,0,0
C000167,7,38.96,one-year,electronic-check,0,0
C000168,23,64.91,month-to-month,bank-transfer,1,1
C000169,14,83.75,two-year,electronic-check,0,0
C000170,44,34.14,month-to-month,credit-card,5,1
C000171,27,101.47,month-to-month,bank-transfer,0,0
C000172,40,27.79,one-year,credit-card,1,0
C000173,53,30.14,two-year,bank-transfer,0,0
C000174,12,85.31,month-to-month,bank-transfer,0,0
C000175,40,61.78,one-year,credit-card,0,0
C000176,54,61.64,two-year,bank-transfer,0,0
C000177,27,114.2,one-year,bank-transfer,2,0
C000178,12,60.62,one-year,bank-transfer,0,1
C000179,7,75.15,month-to-month,electronic-check,1,1
C000180,48,93.72,one-year,credit-card,0,1
C000181,22,112.55,one-year,credit-card,0,0
C000182,6,117.55,month-to-month,bank-transfer,0,1
C000183,50,28.63,two-year,electronic-check,0,0
C000184,29,82.11,month-to-month,electronic-check,1,0
C000185,28,24.17,one-year,electronic-check,0,0
C000186,32,117.07,one-year,credit-card,0,1
C000187,5,86.79,two-year,bank-transfer,0,0
C000188,40,84.9,two-year,bank-transfer,0,0
C000189,48,64.68,one-year,bank-transfer,0,0
C000190,63,66.53,month-to-month,bank-transfer,1,0
C000191,61,60.03,one-year,credit-card,0,0
C000192,57,70.43,one-year,electronic-check,0,0
C000193,41,97.76,two-year,electronic-check,0,0
C000194,18,22.59,two-year,credit-card,5,0
C000195,15,39.37,two-year,bank-transfer,0,0
C000196,29,26.55,month-to-month,bank-transfer,0,0
C000197,36,110.51,one-year,bank-transfer,0,0
C000198,62,40.83,two-year,bank-transfer,0,0
C000199,5,39.89,month-to-month,bank-transfer,0,1
C000200,49,36.87,one-year,bank-transfer,0,0
C000201,47,116.62,two-year,bank-transfer,0,1
C000202,14,45.2,two-year,electronic-check,0,0
C000203,48,46.48,one-year,bank-transfer,0,0
C000204,11,64.23,one-year,credit-card,0,0
C000205,67,45.37,month-to-month,electronic-check,3,1
C000206,41,93.3,two-year,electronic-check,0,0
C000207,56,61.77,month-to-month,bank-transfer,2,1
C000208,6,22.23,month-to-month,credit-card,0,0
C000209,46,73.41,one-year,bank-transfer,0,1
C000210,47,82.39,two-year,bank-transfer,0,0
C000211,32,90.75,month-to-month,bank-transfer,0,0
C000212,35,60.2,two-year,bank-transfer,3,0
C000213,72,109.27,month-to-month,electronic-check,0,0
C000214,67,93.35,one-year,credit-card,0,0
C000215,69,22.52,month-to-month,credit-card,0,1
C000216,14,21.24,month-to-month,electronic-check,0,0
C000217,26,71.83,month-to-month,electronic-check,0,1
C000218,23,70.86,two-year,credit-card,0,0
C000219,62,91.54,month-to-month,credit-card,0,0
C000220,60,28.05,one-year,electronic-check,0,0
C000221,34,43.23,month-to-month,credit-card,0,0
C000222,34,91.17,two-year,bank-transfer,0,0
C000223,67,117.19,two-year,bank-transfer,0,0
C000224,65,21.52,month-to-month,bank-transfer,2,1
C000225,21,94.62,two-year,bank-transfer,0,0
C000226,31,57.94,one-year,electronic-check,2,0
C000227,69,66.95,two-year,electronic-check,0,0
C000228,30,77.03,month-to-month,bank-transfer,1,1
C000229,10,76.52,one-year,credit-card,0,0
C000230,21,54.49,month-to-month,credit-card,1,1
C000231,6,89.7,month-to-month,electronic-check,0,1
C000232,26,101.76,two-year,electronic-check,2,0
C000233,50,30.71,month-to-month,credit-card,0,0
C000234,12,102.51,month-to-month,electronic-check,0,1
C000235,13,99.2,one-year,electronic-check,0,1
C000236,34,22.09,one-year,bank-transfer,3,0
C000237,48,111.03,month-to-month,electronic-check,0,0
C000238,4,98.91,one-year,credit-card,0,0
C000239,7,73.79,month-to-month,credit-card,1,1
C000240,37,37.04,month-to-month,credit-card,0,0
C000241,7,20.44,one-year,bank-transfer,0,0
C000242,24,116.72,two-year,electronic-check,0,0
C000243,21,48.37,two-year,credit-card,3,0
C000244,15,113.87,month-to-month,credit-card,0,0
C000245,14,82.79,two-year,bank-transfer,0,0
C000246,12,62.21,one-year,electronic-check,0,0
C000247,55,110.12,month-to-month,electronic-check,0,1
C000248,59,32.69,two-year,electronic-check,1,0
C000249,45,78.16,two-year,electronic-check,0,0
C000250,42,36.96,one-year,bank-transfer,0,0
C000251,17,53.41,one-year,electronic-check,2,0
C000252,35,50.15,month-to-month,electronic-check,1,0
C000253,20,117.48,two-year,electronic-check,0,0
C000254,31,52.81,two-year,credit-card,0,0
C000255,22,116.24,two-year,credit-card,0,0
C000256,39,93.33,month-to-month,bank-transfer,0,0
C000257,14,48.08,month-to-month,bank-transfer,0,0
C000258,56,89.34,month-to-month,electronic-check,4,1
C000259,19,45.72,one-year,electronic-check,0,0
C000260,56,90.12,two-year,electronic-check,1,0
C000261,30,87.96,one-year,electronic-check,0,0
C000262,13,109.47,one-year,credit-card,1,0
C000263,21,45.01,two-year,bank-transfer,0,0
C000264,53,71.83,month-to-month,electronic-check,3,0
C000265,42,97.82,month-to-month,bank-transfer,1,0
C000266,70,41.79,month-to-month,electronic-check,1,1
C000267,13,104.72,month-to-month,bank-transfer,0,0
C000268,3,83.93,two-year,bank-transfer,0,0
C000269,59,41.01,one-year,electronic-check,0,0
C000270,16,92.91,two-year,electronic-check,0,0
C000271,49,59.97,month-to-month,credit-card,0,1
C000272,46,78.02,one-year,credit-card,0,0
C000273,68,117.15,two-year,bank-transfer,0,0
C000274,9,100.96,month-to-month,electronic-check,0,1
C000275,29,101.46,two-year,credit-card,0,0
C000276,53,66.81,two-year,bank-transfer,1,0
C000277,61,55.47,two-year,credit-card,0,0
C000278,55,87.88,one-year,bank-transfer,0,0
C000279,46,44.5,two-year,bank-transfer,0,0
C000280,11,85.93,one-year,bank-transfer,0,0
C000281,8,28.53,one-year,electronic-check,2,0
C000282,45,83.32,month-to-month,credit-card,0,0
C000283,38,45.0,month-to-month,credit-card,0,0
C000284,58,54.64,month-to-month,credit-card,0,1
C000285,22,80.95,one-year,electronic-check,0,0
C000286,71,98.81,month-to-month,bank-transfer,0,0
C000287,11,94.19,two-year,bank-transfer,0,0
C000288,34,61.9,month-to-month,credit-card,0,0
C000289,60,110.55,two-year,electronic-check,0,0
C000290,1,36.04,one-year,bank-transfer,0,0
C000291,38,104.06,two-year,bank-transfer,0,0
C000292,47,83.61,two-year,credit-card,0,0
C000293,43,100.86,month-to-month,credit-card,0,0
C000294,19,23.39,one-year,electronic-check,0,0
C000295,47,54.13,month-to-month,electronic-check,0,1
C000296,44,62.24,month-to-month,electronic-check,0,1
C000297,64,60.37,one-year,electronic-check,4,0
C000298,27,85.46,two-year,credit-card,0,0
C000299,17,78.65,one-year,electronic-check,0,0
C000300,71,108.56,month-to-month,electronic-check,0,1
C000301,1,24.64,one-year,bank-transfer,0,0
C000302,65,110.98,two-year,electronic-check,0,0
C000303,11,41.25,month-to-month,electronic-check,0,0
C000304,13,86.36,two-year,credit-card,0,0
C000305,2,56.89,month-to-month,credit-card,1,0
C000306,39,38.48,two-year,credit-card,0,0
C000307,7,69.78,one-year,electronic-check,0,0
C000308,54,77.53,month-to-month,bank-transfer,0,0
C000309,20,67.54,month-to-month,bank-transfer,0,0
C000310,28,109.58,month-to-month,electronic-check,0,0
C000311,16,118.66,month-to-month,credit-card,0,1
C000312,3,47.54,month-to-month,electronic-check,0,1
C000313,7,56.59,two-year,electronic-check,1,0
C000314,11,49.31,month-to-month,electronic-check,1,0
C000315,33,111.35,one-year,credit-card,1,0
C000316,11,58.89,month-to-month,bank-transfer,1,1
C000317,63,80.89,month-to-month,bank-transfer,0,0
C000318,61,87.69,two-year,credit-card,3,0
C000319,21,82.97,month-to-month,bank-transfer,0,1
C000320,43,49.24,one-year,credit-card,0,0
C000321,43,106.96,two-year,electronic-check,4,0
C000322,40,78.47,month-to-month,credit-card,0,0
C000323,30,100.75,two-year,bank-transfer,0,0
C000324,55,35.73,one-year,credit-card,0,0
C000325,19,47.38,month-to-month,electronic-check,0,0
C000326,11,74.0,one-year,bank-transfer,1,0
C000327,30,50.95,month-to-month,credit-card,0,0
C000328,33,78.64,one-year,credit-card,1,0
C000329,69,100.66,one-year,credit-card,0,0
C000330,34,108.51,two-year,electronic-check,0,0
C000331,25,41.27,two-year,credit-card,0,0
C000332,46,60.25,two-year,electronic-check,2,0
C000333,64,57.4,month-to-month,credit-card,0,1
C000334,20,51.58,one-year,credit-card,0,0
C000335,13,23.36,two-year,electronic-check,0,0
C000336,36,62.59,two-year,bank-transfer,1,0
C000337,33,104.37,two-year,bank-transfer,0,0
C000338,4,25.1,month-to-month,electronic-check,0,1
C000339,9,106.3,two-year,electronic-check,0,0
C000340,12,45.72,month-to-month,electronic-check,0,0
C000341,65,59.31,month-to-month,bank-transfer,1,0
C000342,29,37.21,one-year,bank-transfer,3,0
C000343,4,103.72,month-to-month,credit-card,0,0
C000344,62,25.58,two-year,credit-card,0,0
C000345,39,78.98,month-to-month,bank-transfer,1,0
C000346,48,45.7,month-to-month,credit-card,0,0
C000347,31,100.76,one-year,electronic-check,2,0
C000348,25,99.88,one-year,credit-card,2,0
C000349,48,108.87,month-to-month,credit-card,1,1
C000350,50,104.22,month-to-month,electronic-check,0,0
C000351,30,67.75,one-year,electronic-check,0,0
C000352,8,38.02,one-year,bank-transfer,0,0
C000353,20,46.64,month-to-month,bank-transfer,0,1
C000354,38,53.45,month-to-month,credit-card,0,1
C000355,62,31.42,month-to-month,electronic-check,0,1
C000356,72,67.75,two-year,bank-transfer,0,0
C000357,56,119.1,month-to-month,credit-card,2,0
C000358,54,109.62,month-to-month,credit-card,1,1
C000359,3,64.21,one-year,electronic-check,0,1
C000360,68,48.64,month-to-month,bank-transfer,0,1
C000361,24,33.81,one-year,credit-card,0,0
C000362,26,80.07,month-to-month,credit-card,2,0
C000363,36,37.53,two-year,credit-card,0,0
C000364,25,78.29,two-year,credit-card,0,0
C000365,53,104.11,two-year,credit-card,0,0
C000366,64,29.03,one-year,bank-transfer,2,0
C000367,35,44.83,one-year,electronic-check,1,1
C000368,48,77.49,one-year,credit-card,0,1
C000369,10,32.08,one-year,electronic-check,0,0
C000370,49,77.63,one-year,credit-card,0,0
C000371,64,64.64,month-to-month,credit-card,0,0
C000372,32,116.74,two-year,credit-card,0,0
C000373,33,75.54,month-to-month,credit-card,0,1
C000374,34,21.77,two-year,electronic-check,0,0
C000375,57,30.29,one-year,credit-card,1,0
C000376,60,69.36,month-to-month,electronic-check,1,1
C000377,52,108.44,month-to-month,electronic-check,0,1
C000378,60,94.66,month-to-month,credit-card,3,1
C000379,50,89.39,month-to-month,electronic-check,1,0
C000380,7,97.69,two-year,bank-transfer,0,1
C000381,42,101.5,one-year,electronic-check,0,0
C000382,46,44.93,two-year,bank-transfer,0,0
C000383,68,38.75,month-to-month,bank-transfer,0,1
C000384,29,33.94,two-year,bank-transfer,1,0
C000385,6,23.44,one-year,electronic-check,0,0
C000386,70,100.63,two-year,credit-card,0,0
C000387,2,63.37,one-year,credit-card,0,1
C000388,22,32.04,one-year,electronic-check,3,0
C000389,11,66.64,two-year,electronic-check,3,0
C000390,17,108.52,one-year,bank-transfer,0,1
C000391,12,94.04,one-year,bank-transfer,1,0
C000392,29,85.04,two-year,credit-card,0,0
C000393,71,50.37,one-year,bank-transfer,0,0
C000394,43,42.16,one-year,electronic-check,0,1
C000395,46,36.23,two-year,credit-card,0,0
C000396,37,107.84,one-year,credit-card,0,0
C000397,9,80.59,month-to-month,bank-transfer,0,1
C000398,57,55.41,month-to-month,credit-card,0,0
C000399,20,61.68,two-year,electronic-check,0,0
C000400,36,102.12,two-year,electronic-check,0,0
C000401,61,46.87,two-year,electronic-check,1,0
C000402,14,20.43,two-year,electronic-check,0,0
C000403,20,61.79,one-year,bank-transfer,2,0
C000404,58,89.26,two-year,bank-transfer,1,0
C000405,68,75.54,one-year,bank-transfer,0,0
C000406,64,58.07,month-to-month,bank-transfer,0,0
C000407,56,77.54,one-year,electronic-check,0,0
C000408,32,115.88,one-year,credit-card,4,0
C000409,33,76.49,month-to-month,bank-transfer,0,1
C000410,69,82.0,two-year,bank-transfer,0,0
C000411,56,58.95,two-year,bank-transfer,0,0
C000412,2,87.65,two-year,electronic-check,0,0
C000413,52,84.85,one-year,electronic-check,0,0
C000414,63,60.16,month-to-month,electronic-check,2,0
C000415,68,94.65,two-year,credit-card,0,0
C000416,10,102.6,one-year,electronic-check,0,0
C000417,44,102.06,two-year,electronic-check,2,0
C000418,68,48.99,one-year,electronic-check,0,0
C000419,8,83.01,month-to-month,electronic-check,0,1
C000420,6,89.17,two-year,credit-card,1,0
C000421,71,20.39,one-year,bank-transfer,0,0
C000422,4,39.67,month-to-month,bank-transfer,1,0
C000423,69,71.43,two-year,credit-card,0,0
C000424,19,35.68,one-year,electronic-check,0,0
C000425,67,69.04,month-to-month,bank-transfer,0,1
C000426,42,34.39,month-to-month,credit-card,0,0
C000427,13,105.93,month-to-month,electronic-check,0,1
C000428,50,21.95,month-to-month,credit-card,2,1
C000429,6,63.96,two-year,electronic-check,0,0
C000430,23,51.48,month-to-month,bank-transfer,0,1
C000431,64,117.95,two-year,credit-card,0,0
C000432,29,61.35,one-year,bank-transfer,2,0
C000433,32,28.75,one-year,credit-card,0,1
C000434,38,59.6,month-to-month,bank-transfer,0,1
C000435,43,60.32,two-year,credit-card,3,0
C000436,45,75.38,one-year,bank-transfer,0,0
C000437,56,23.49,one-year,electronic-check,0,0
C000438,17,29.26,month-to-month,bank-transfer,0,1
C000439,60,103.63,month-to-month,credit-card,0,0
C000440,52,57.69,one-year,electronic-check,0,0
C000441,30,105.84,one-year,electronic-check,0,0
C000442,57,78.76,two-year,bank-transfer,0,0
C000443,28,32.55,one-year,credit-card,0,0
C000444,35,93.59,month-to-month,bank-transfer,0,0
C000445,40,21.5,two-year,electronic-check,0,0
C000446,30,52.1,month-to-month,electronic-check,2,0
C000447,47,100.52,month-to-month,bank-transfer,0,0
C000448,29,48.86,two-year,electronic-check,0,0
C000449,60,97.5,one-year,electronic-check,2,0
C000450,23,22.96,month-to-month,electronic-check,1,0
C000451,53,22.53,two-year,electronic-check,0,0
C000452,52,55.21,month-to-month,electronic-check,0,0
C000453,29,91.26,one-year,credit-card,0,1
C000454,26,95.7,two-year,credit-card,0,0
C000455,23,76.45,month-to-month,credit-card,0,0
C000456,56,87.01,two-year,electronic-check,0,0
C000457,37,110.11,month-to-month,electronic-check,0,1
C000458,15,23.71,month-to-month,bank-transfer,0,0
C000459,12,61.72,one-year,electronic-check,0,0
C000460,29,48.12,two-year,credit-card,0,0
C000461,44,89.16,one-year,electronic-check,0,0
C000462,66,25.43,two-year,electronic-check,0,0
C000463,17,68.95,two-year,credit-card,0,0
C000464,72,46.12,two-year,electronic-check,0,0
C000465,34,44.97,two-year,credit-card,0,0
C000466,26,83.65,one-year,credit-card,0,0
C000467,62,43.79,two-year,credit-card,0,0
C000468,45,89.8,two-year,credit-card,2,0
C000469,31,53.36,month-to-month,credit-card,0,0
C000470,20,79.87,month-to-month,bank-transfer,1,0
C000471,15,89.01,one-year,credit-card,0,0
C000472,36,50.39,month-to-month,credit-card,1,1
C000473,21,52.45,one-year,bank-transfer,0,0
C000474,10,24.56,one-year,bank-transfer,5,0
C000475,43,118.02,one-year,electronic-check,0,1
C000476,56,68.83,two-year,electronic-check,0,0
C000477,37,82.77,one-year,electronic-check,0,0
C000478,11,33.87,one-year,credit-card,0,0
C000479,38,56.79,one-year,electronic-check,0,0
C000480,40,94.23,two-year,bank-transfer,0,0
C000481,41,43.02,two-year,credit-card,0,0
C000482,33,43.94,one-year,credit-card,0,0
C000483,52,110.52,two-year,credit-card,0,0
C000484,39,80.26,one-year,electronic-check,0,0
C000485,18,64.32,two-year,bank-transfer,0,0
C000486,62,39.08,month-to-month,electronic-check,0,0
C000487,66,62.54,month-to-month,bank-transfer,0,0
C000488,54,109.06,month-to-month,credit-card,0,0
C000489,23,110.4,two-year,credit-card,0,0
C000490,45,76.75,month-to-month,bank-transfer,0,1
C000491,55,117.13,one-year,electronic-check,2,0
C000492,11,101.11,one-year,credit-card,1,0
C000493,39,76.5,one-year,bank-transfer,3,0
C000494,18,49.93,one-year,bank-transfer,0,0
C000495,25,42.25,two-year,electronic-check,0,1
C000496,48,75.49,month-to-month,bank-transfer,0,1
C000497,51,46.11,month-to-month,credit-card,0,0
C000498,15,42.13,month-to-month,bank-transfer,0,0
C000499,33,90.91,month-to-month,credit-card,0,0
C000500,15,93.56,month-to-month,electronic-check,0,0
C000501,57,33.43,one-year,electronic-check,0,0
C000502,15,82.66,two-year,electronic-check,0,0
C000503,51,74.43,one-year,credit-card,0,0
C000504,8,60.44,month-to-month,credit-card,0,1
C000505,28,65.97,month-to-month,credit-card,1,0
C000506,12,82.12,one-year,credit-card,0,0
C000507,22,56.7,two-year,bank-transfer,1,0
C000508,33,32.27,two-year,bank-transfer,0,0
C000509,63,24.35,two-year,electronic-check,0,0
C000510,15,23.41,one-year,electronic-check,0,0
C000511,58,22.13,one-year,electronic-check,0,0
C000512,10,100.07,month-to-month,credit-card,0,0
C000513,49,103.62,one-year,electronic-check,2,0
C000514,35,114.88,two-year,credit-card,0,0
C000515,62,107.31,month-to-month,credit-card,0,0
C000516,51,104.3,two-year,credit-card,0,0
C000517,67,27.59,one-year,bank-transfer,0,0
C000518,6,41.14,one-year,bank-transfer,1,0
C000519,50,113.74,one-year,bank-transfer,0,0
C000520,30,22.05,two-year,bank-transfer,2,0
C000521,19,92.7,two-year,credit-card,0,1
C000522,34,55.68,one-year,electronic-check,0,1
C000523,5,111.51,month-to-month,credit-card,2,0
C000524,13,56.29,one-year,bank-transfer,1,0
C000525,19,88.13,month-to-month,bank-transfer,3,0
C000526,66,105.32,one-year,credit-card,0,0
C000527,43,26.04,two-year,bank-transfer,0,0
C000528,32,100.92,one-year,bank-transfer,0,0
C000529,59,60.5,month-to-month,bank-transfer,0,1
C000530,9,34.38,one-year,electronic-check,0,0
C000531,44,27.35,two-year,credit-card,0,0
C000532,39,78.05,month-to-month,bank-transfer,0,0
C000533,9,103.86,two-year,bank-transfer,2,0
C000534,70,22.31,one-year,credit-card,0,0
C000535,28,24.77,month-to-month,bank-transfer,0,0
C000536,65,84.81,two-year,credit-card,0,0
C000537,7,27.93,month-to-month,electronic-check,0,0
C000538,35,73.69,month-to-month,credit-card,0,1
C000539,42,106.77,month-to-month,credit-card,0,1
C000540,44,37.45,one-year,bank-transfer,1,0
C000541,43,97.6,month-to-month,electronic-check,0,0
C000542,4,112.53,one-year,electronic-check,0,0
C000543,43,35.67,one-year,credit-card,0,1
C000544,12,55.78,month-to-month,bank-transfer,0,0
C000545,72,35.34,two-year,electronic-check,0,0
C000546,34,101.35,month-to-month,bank-transfer,1,0
C000547,71,117.74,two-year,bank-transfer,0,0
C000548,36,33.19,one-year,credit-card,0,0
C000549,47,35.06,month-to-month,electronic-check,0,0
C000550,18,32.22,month-to-month,electronic-check,0,0
C000551,34,113.97,two-year,bank-transfer,1,0
C000552,21,72.85,month-to-month,bank-transfer,1,0
C000553,64,41.31,month-to-month,bank-transfer,2,1
C000554,42,98.98,one-year,credit-card,0,0
C000555,52,87.42,two-year,bank-transfer,0,1
C000556,49,114.5,two-year,electronic-check,2,0
C000557,34,90.93,month-to-month,credit-card,0,1
C000558,55,84.27,month-to-month,bank-transfer,2,1
C000559,21,67.74,one-year,bank-transfer,3,0
C000560,37,28.84,month-to-month,credit-card,0,0
C000561,58,41.21,month-to-month,credit-card,2,1
C000562,47,24.62,month-to-month,bank-transfer,0,0
C000563,39,88.52,month-to-month,credit-card,0,0
